university,group_code,reason
大连海洋大学,205,无专业组映射
大连海洋大学,206,无专业组映射
大连海洋大学,207,无专业组映射
中国医科大学,"育
203",无专业组映射
中国医科大学(中外合作办学),204,无专业组映射
锦州医科大学,202,无专业组映射
锦州医科大学,203,无专业组映射
"教
锦州医科大学(中外合作办学)",204,无专业组映射
大连医科大学,202,无专业组映射
大连医科大学,203,无专业组映射
大连医科大学,204,无专业组映射
"省
大连医科大学",205,无专业组映射
辽宁中医药大学,203,无专业组映射
辽宁中医药大学,204,无专业组映射
辽宁中医药大学,205,无专业组映射
辽宁中医药大学,207,无专业组映射
辽宁中医药大学,201,无专业组映射
辽宁中医药大学,202,无专业组映射
"东
辽宁中医药大学",206,无专业组映射
沈阳药科大学,203,无专业组映射
沈阳药科大学,204,无专业组映射
"广
沈阳医学院",202,无专业组映射
辽宁师范大学(中外合作办学),205,无专业组映射
辽宁师范大学(中外合作办学),206,无专业组映射
辽宁师范大学(中外合作办学),204,无专业组映射
渤海大学,203,无专业组映射
渤海大学,201,无专业组映射
渤海大学,202,无专业组映射
渤海大学(国际本科学术互认),204,无专业组映射
鞍山师范学院,204,无专业组映射
鞍山师范学院,203,无专业组映射
大连外国语大学,208,无专业组映射
大连外国语大学,209,无专业组映射
大连外国语大学,210,无专业组映射
大连外国语大学,206,无专业组映射
大连外国语大学,207,无专业组映射
东北财经大学,209,无专业组映射
东北财经大学,201,无专业组映射
东北财经大学,202,无专业组映射
东北财经大学(中外合作办学),210,无专业组映射
东北财经大学(中外合作办学),211,无专业组映射
东北财经大学(中外合作办学),212,无专业组映射
东北财经大学(中外合作办学),213,无专业组映射
东北财经大学(中外合作办学),214,无专业组映射
东北财经大学(中外合作办学),215,无专业组映射
东北财经大学(中外合作办学),216,无专业组映射
东北财经大学(中外合作办学),203,无专业组映射
东北财经大学(中外合作办学),204,无专业组映射
东北财经大学(中外合作办学),205,无专业组映射
东北财经大学(中外合作办学),207,无专业组映射
东北财经大学(中外合作办学),208,无专业组映射
沈阳音乐学院,209,无专业组映射
沈阳音乐学院,208,无专业组映射
吉林大学,220,无专业组映射
吉林大学,221,无专业组映射
吉林大学,222,无专业组映射
吉林大学,223,无专业组映射
吉林大学,224,无专业组映射
吉林大学,226,无专业组映射
吉林大学,229,无专业组映射
吉林大学,230,无专业组映射
吉林大学,231,无专业组映射
吉林大学,215,无专业组映射
吉林大学,216,无专业组映射
吉林大学,217,无专业组映射
吉林大学,218,无专业组映射
吉林大学,219,无专业组映射
吉林大学,228,无专业组映射
吉林大学(联合培养),225,无专业组映射
延边大学,206,无专业组映射
延边大学,207,无专业组映射
延边大学,208,无专业组映射
延边大学,205,无专业组映射
长春理工大学,217,无专业组映射
长春理工大学,218,无专业组映射
长春理工大学,219,无专业组映射
长春理工大学,220,无专业组映射
长春理工大学,"育
221",无专业组映射
长春理工大学,222,无专业组映射
长春理工大学,223,无专业组映射
长春理工大学,226,无专业组映射
长春理工大学,"育
214",无专业组映射
长春理工大学,215,无专业组映射
长春理工大学,216,无专业组映射
长春理工大学(中外合作办学),224,无专业组映射
长春理工大学(中外合作办学),227,无专业组映射
长春理工大学(中外合作办学),228,无专业组映射
"教
长春理工大学(中外合作办学)",225,无专业组映射
"省
东北电力大学",205,无专业组映射
东北电力大学(中外合作办学),206,无专业组映射
东北电力大学,207,无专业组映射
东北电力大学,204,无专业组映射
长春工业大学,216,无专业组映射
长春工业大学,218,无专业组映射
长春工业大学,219,无专业组映射
长春工业大学,220,无专业组映射
长春工业大学,212,无专业组映射
长春工业大学,213,无专业组映射
长春工业大学,214,无专业组映射
"东
长春工业大学",217,无专业组映射
"广
吉林建筑大学",209,无专业组映射
吉林建筑大学,210,无专业组映射
吉林建筑大学,211,无专业组映射
吉林建筑大学,207,无专业组映射
吉林建筑大学(中外合作办学),212,无专业组映射
吉林建筑大学(中外合作办学),208,无专业组映射
吉林农业大学,204,无专业组映射
吉林农业大学,205,无专业组映射
长春中医药大学,204,无专业组映射
长春中医药大学,205,无专业组映射
长春中医药大学,206,无专业组映射
东北师范大学(中外合作办学),219,无专业组映射
东北师范大学(中外合作办学),220,无专业组映射
东北师范大学(中外合作办学),216,无专业组映射
东北师范大学(中外合作办学),217,无专业组映射
东北师范大学,221,无专业组映射
东北师范大学,222,无专业组映射
东北师范大学,215,无专业组映射
北华大学,208,无专业组映射
北华大学,209,无专业组映射
北华大学,210,无专业组映射
北华大学,211,无专业组映射
北华大学,212,无专业组映射
北华大学,206,无专业组映射
北华大学,207,无专业组映射
吉林师范大学,206,无专业组映射
吉林师范大学,204,无专业组映射
吉林师范大学,205,无专业组映射
长春师范大学(校企联合培养),208,无专业组映射
长春师范大学,209,无专业组映射
长春师范大学,210,无专业组映射
长春师范大学,206,无专业组映射
长春师范大学,207,无专业组映射
白城师范学院,202,无专业组映射
吉林财经大学,210,无专业组映射
吉林财经大学,208,无专业组映射
吉林财经大学(中外合作办学),211,无专业组映射
吉林财经大学(中外合作办学),209,无专业组映射
黑龙江大学,211,无专业组映射
黑龙江大学,212,无专业组映射
黑龙江大学,213,无专业组映射
黑龙江大学,209,无专业组映射
黑龙江大学,210,无专业组映射
黑龙江大学(联合培养),215,无专业组映射
黑龙江大学(联合培养),216,无专业组映射
哈尔滨工业大学,206,无专业组映射
哈尔滨工业大学,207,无专业组映射
哈尔滨工业大学(中外合作办学),208,无专业组映射
哈尔滨工业大学(中外合作办学),209,无专业组映射
哈尔滨工业大学(中外合作办学),210,无专业组映射
哈尔滨工业大学(中外合作办学),"育
211",无专业组映射
哈尔滨工业大学(中外合作办学),212,无专业组映射
哈尔滨理工大学,211,无专业组映射
哈尔滨理工大学,212,无专业组映射
哈尔滨理工大学,214,无专业组映射
哈尔滨理工大学,215,无专业组映射
哈尔滨理工大学,216,无专业组映射
哈尔滨理工大学,218,无专业组映射
哈尔滨理工大学,207,无专业组映射
"教
哈尔滨理工大学",213,无专业组映射
"省
哈尔滨理工大学",217,无专业组映射
燕山大学,205,无专业组映射
燕山大学,204,无专业组映射
哈尔滨工程大学,211,无专业组映射
哈尔滨工程大学,215,无专业组映射
哈尔滨工程大学,216,无专业组映射
哈尔滨工程大学,218,无专业组映射
哈尔滨工程大学,219,无专业组映射
哈尔滨工程大学,208,无专业组映射
哈尔滨工程大学,209,无专业组映射
"东
哈尔滨工程大学(中外合作办学)",213,无专业组映射
哈尔滨工程大学(中外合作办学),214,无专业组映射
"广
哈尔滨工程大学",217,无专业组映射
黑龙江科技大学,207,无专业组映射
黑龙江科技大学,208,无专业组映射
黑龙江科技大学,205,无专业组映射
黑龙江科技大学,206,无专业组映射
东北石油大学,207,无专业组映射
东北石油大学,208,无专业组映射
东北石油大学,209,无专业组映射
东北石油大学,201,无专业组映射
东北石油大学,206,无专业组映射
东北石油大学(中外合作办学),210,无专业组映射
佳木斯大学,212,无专业组映射
佳木斯大学,213,无专业组映射
佳木斯大学,214,无专业组映射
佳木斯大学,215,无专业组映射
佳木斯大学,216,无专业组映射
佳木斯大学,208,无专业组映射
佳木斯大学,209,无专业组映射
佳木斯大学,211,无专业组映射
东北农业大学,210,无专业组映射
东北农业大学,211,无专业组映射
东北农业大学,212,无专业组映射
东北农业大学,213,无专业组映射
东北农业大学,214,无专业组映射
东北农业大学,208,无专业组映射
东北农业大学,209,无专业组映射
东北农业大学(联合培养),215,无专业组映射
东北农业大学(联合培养),216,无专业组映射
东北农业大学(联合培养),217,无专业组映射
东北农业大学(联合培养),218,无专业组映射
东北林业大学,208,无专业组映射
东北林业大学,209,无专业组映射
东北林业大学,207,无专业组映射
东北林业大学(中外合作办学),211,无专业组映射
哈尔滨医科大学,208,无专业组映射
哈尔滨医科大学,209,无专业组映射
哈尔滨医科大学,210,无专业组映射
哈尔滨医科大学,212,无专业组映射
哈尔滨医科大学,213,无专业组映射
哈尔滨医科大学,207,无专业组映射
黑龙江中医药大学,206,无专业组映射
黑龙江中医药大学,207,无专业组映射
黑龙江中医药大学,208,无专业组映射
黑龙江中医药大学,209,无专业组映射
黑龙江中医药大学,205,无专业组映射
牡丹江医科大学,201,无专业组映射
牡丹江医科大学,"育
202",无专业组映射
牡丹江医科大学,203,无专业组映射
哈尔滨师范大学,214,无专业组映射
哈尔滨师范大学,215,无专业组映射
哈尔滨师范大学,217,无专业组映射
哈尔滨师范大学,218,无专业组映射
哈尔滨师范大学,211,无专业组映射
哈尔滨师范大学,212,无专业组映射
哈尔滨师范大学,213,无专业组映射
"教
哈尔滨师范大学",216,无专业组映射
齐齐哈尔大学,207,无专业组映射
齐齐哈尔大学,209,无专业组映射
齐齐哈尔大学,"育
205",无专业组映射
