university_name,group_code,sample_major_name,suggested_majors,in_simple,auto_filled
"教
沧州交通学院",207,专业组207,,NO,NO
"省
河北东方学院",206,专业组206,,NO,NO
"东
山东青年政治学院",204,专业组204,,NO,NO
"广
广东第二师范学院",214,专业组214,,NO,NO
广东第二师范学院(学分互认),231,专业组231,,NO,NO
广东第二师范学院(学分互认),232,专业组232,,NO,NO
广东第二师范学院(学分互认),233,专业组233,,NO,NO
广东第二师范学院(学分互认),234,专业组234,,NO,NO
广东第二师范学院(学分互认),235,专业组235,,NO,NO
宁波诺丁汉大学(中外合作办学),205,专业组205,,NO,NO
宁波诺丁汉大学(中外合作办学),206,专业组206,,NO,NO
西交利物浦大学(中外合作办学),204,专业组204,,NO,NO
北师香港浸会大学(内地香港合作办学),201,专业组201,,NO,NO
温州肯恩大学(中外合作办学),"育
204","专业组育
204",,NO,NO
深圳北理莫斯科大学(中外合作办学),204,专业组204,,NO,NO
"教
中国人民大学(苏州校区)(中外合作办学)",204,专业组204,,NO,NO
"省
东北大学秦皇岛分校",209,专业组209,,NO,NO
"东
山东大学威海分校",205,专业组205,,NO,NO
"广
华南师范大学(汕尾校区)",201,专业组201,,NO,NO
北京交通大学(中外合作办学),209,专业组209,,NO,NO
北京交通大学(中外合作办学),210,专业组210,,NO,NO
北京交通大学(中外合作办学),211,专业组211,,NO,NO
北京航空航天大学(中外合作办学),210,专业组210,,NO,NO
北京理工大学(中外合作办学),206,专业组206,,NO,NO
北京化工大学(中外合作办学),210,专业组210,,NO,NO
北京化工大学(中外合作办学),211,专业组211,,NO,NO
北京化工大学,"育
212","专业组育
212",,NO,NO
"教
北京服装学院",208,专业组208,,NO,NO
北京邮电大学(中外合作办学),205,专业组205,,NO,NO
"省
北京邮电大学",206,专业组206,,NO,NO
北京邮电大学(中外合作办学),207,专业组207,,NO,NO
"东
北京建筑大学",203,专业组203,,NO,NO
"广
中国农业大学(中外合作办学)",207,专业组207,,NO,NO
北京林业大学(中外合作办学),235,专业组235,,NO,NO
北京外国语大学(中外合作办学),218,专业组218,,NO,NO
北京语言大学(中外合作办学),216,专业组216,,NO,NO
中国传媒大学(中外合作办学),212,专业组212,,NO,NO
中国传媒大学(中外合作办学),214,专业组214,,NO,NO
中央财经大学(中外合作办学),"育
209","专业组育
209",,NO,NO
对外经济贸易大学(中外合作办学),210,专业组210,,NO,NO
"教
北京物资学院(中外合作办学)",205,专业组205,,NO,NO
"省
中国人民公安大学",202,专业组202,,NO,NO
北京体育大学(中外合作办学),220,专业组220,,NO,NO
"东
北京体育大学",221,专业组221,,NO,NO
"广
中央美术学院(中外合作办学)",209,专业组209,,NO,NO
中央民族大学(内地澳门合作办学),224,专业组224,,NO,NO
天津科技大学(中外合作办学),211,专业组211,,NO,NO
天津科技大学(中外合作办学),213,专业组213,,NO,NO
天津工业大学(中外合作办学),220,专业组220,,NO,NO
天津理工大学(中外合作办学),206,专业组206,,NO,NO
天津理工大学(中外合作办学),207,专业组207,,NO,NO
天津理工大学(中外合作办学),211,专业组211,,NO,NO
天津农学院,"育
208","专业组育
208",,NO,NO
"教
天津中医药大学",209,专业组209,,NO,NO
"省
天津师范大学",219,专业组219,,NO,NO
"东
天津师范大学",223,专业组223,,NO,NO
"广
天津职业技术师范大学",203,专业组203,,NO,NO
天津外国语大学(中外合作办学),209,专业组209,,NO,NO
天津商业大学(中外合作办学),215,专业组215,,NO,NO
天津财经大学(中外合作办学),210,专业组210,,NO,NO
华北水利水电大学(中外合作办学),206,专业组206,,NO,NO
河北工业大学(联合培养),209,专业组209,,NO,NO
河北工业大学(联合培养),210,专业组210,,NO,NO
